,ca,t,cs,fs,tot
direct,2,0,2,1,5
disagree,1,0,4,0,5
discharge,4,0,0,1,5
displaying,5,0,0,0,5
documentation,3,0,1,1,5
drawing,5,0,0,0,5
drive,3,0,2,0,5
driven,3,2,0,0,5
duration,2,0,2,1,5
ease,5,0,0,0,5
elearning,5,0,0,0,5
eliminate,5,0,0,0,5
ensures,3,0,2,0,5
entrepreneurial,3,0,2,0,5
entrepreneurs,1,0,0,4,5
environmental,3,0,0,2,5
equal,5,0,0,0,5
eventually,1,0,2,2,5
evolution,5,0,0,0,5
examinations,4,1,0,0,5
expenditures,0,0,0,5,5
expenses,0,0,2,3,5
expensive,3,1,1,0,5
exported,1,0,0,4,5
extent,5,0,0,0,5
fairly,0,1,4,0,5
fields,5,0,0,0,5
fifth,0,0,3,2,5
fighting,5,0,0,0,5
filing,1,0,4,0,5
filled,3,0,2,0,5
financing,0,0,0,5,5
fixtures,0,0,2,3,5
foreign,4,0,0,1,5
fund,4,0,0,1,5
furniture,0,0,0,5,5
gained,3,1,0,1,5
gesture,4,1,0,0,5
glsbased,5,0,0,0,5
grants,3,0,1,1,5
graphic,2,0,3,0,5
grouped,0,1,4,0,5
growers,1,0,0,4,5
guarantee,1,2,0,2,5
heads,0,0,1,4,5
highway,0,2,0,3,5
households,3,0,0,2,5
housing,5,0,0,0,5
indicate,4,0,1,0,5
ineffective,1,0,4,0,5
inefficient,4,0,0,1,5
inputs,3,2,0,0,5
inputted,4,1,0,0,5
install,0,2,2,1,5
integration,2,0,0,3,5
island,5,0,0,0,5
iso91261,5,0,0,0,5
juliana??s,0,0,5,0,5
kilograms,0,0,0,5,5
kinds,4,0,0,1,5
laboratory,2,1,2,0,5
languages,3,2,0,0,5
lawsuit,0,0,5,0,5
link,5,0,0,0,5
lower,1,0,1,3,5
loyalty,0,0,5,0,5
managements,5,0,0,0,5
manufacturers,2,0,0,3,5
marketplace,5,0,0,0,5
minor,5,0,0,0,5
mission,3,0,2,0,5
mist,5,0,0,0,5
mobwork,5,0,0,0,5
monitors,5,0,0,0,5
multiplechoice,5,0,0,0,5
national,1,0,0,4,5
night,2,0,2,1,5
nonplayer,5,0,0,0,5
northern,1,4,0,0,5
notified,5,0,0,0,5
november,0,0,3,2,5
nutrient,5,0,0,0,5
operational,2,0,3,0,5
ordered,0,0,4,1,5
organizational,2,0,1,2,5
outcomes,5,0,0,0,5
overview,3,0,2,0,5
password,5,0,0,0,5
performs,3,2,0,0,5
pharmacy,3,0,2,0,5
pictures,3,0,2,0,5
planted,1,0,0,4,5
populace,2,0,0,3,5
prediction,0,5,0,0,5
preferred,3,2,0,0,5
preprocessing,2,3,0,0,5
prescribed,0,2,0,3,5
pretest,5,0,0,0,5
probability,3,1,0,1,5
produces,2,1,0,2,5
promotions,0,0,5,0,5
prompt,5,0,0,0,5
prompts,5,0,0,0,5
proponentsa??,5,0,0,0,5
proved,0,4,1,0,5
pugon,0,0,5,0,5
pullout,0,0,5,0,5
purchased,0,0,2,3,5
quarantine,4,1,0,0,5
quick,3,2,0,0,5
rainy,5,0,0,0,5
recorded,4,0,1,0,5
refilling,3,0,2,0,5
registering,5,0,0,0,5
remaining,0,0,1,4,5
remote,3,1,0,1,5
renter,5,0,0,0,5
repeated,5,0,0,0,5
resettlement,0,0,0,5,5
resolve,0,1,4,0,5
respect,2,2,1,0,5
retrieval,5,0,0,0,5
riders,5,0,0,0,5
riding,5,0,0,0,5
rise,3,2,0,0,5
river,3,0,0,2,5
routes,5,0,0,0,5
safe,5,0,0,0,5
salon,0,0,0,5,5
scaling,2,1,2,0,5
scores,5,0,0,0,5
seen,3,0,2,0,5
selection,2,0,3,0,5
sense,5,0,0,0,5
serverside,5,0,0,0,5
sold,0,0,0,5,5
sourcing,4,0,0,1,5
species,1,0,0,4,5
specifications,5,0,0,0,5
specified,2,3,0,0,5
stable,2,1,2,0,5
standing,4,0,0,1,5
startup,0,0,0,5,5
stock,0,0,5,0,5
stop,5,0,0,0,5
strong,3,0,2,0,5
studied,5,0,0,0,5
succeeding,0,0,0,5,5
suggest,2,0,3,0,5
suggested,5,0,0,0,5
supermarket,0,0,5,0,5
supplement,2,1,0,2,5
supplied,0,0,0,5,5
surely,0,0,0,5,5
surveys,5,0,0,0,5
syntax,0,5,0,0,5
tablets,5,0,0,0,5
tedious,3,1,0,1,5
tendency,0,0,5,0,5
timely,2,0,2,1,5
times,0,0,2,3,5
topdown,5,0,0,0,5
tracker,5,0,0,0,5
trends,1,2,0,2,5
undergo,1,2,2,0,5
unity,4,1,0,0,5
validated,3,2,0,0,5
varieties,4,0,0,1,5
vector,5,0,0,0,5
ventilation,4,0,1,0,5
vicinity,2,0,2,1,5
video,5,0,0,0,5
visiting,5,0,0,0,5
wood,0,0,0,5,5
words,4,1,0,0,5
worse,5,0,0,0,5
yield,1,0,0,4,5
a??2,5,0,0,0,5
a??4,5,0,0,0,5
1000,0,0,0,4,4
2000,0,0,0,4,4
2008,2,0,1,1,4
2013,1,0,3,0,4
41956,4,0,0,0,4
acquired,4,0,0,0,4
acquisition,0,3,0,1,4
acts,4,0,0,0,4
added,3,0,1,0,4
ades,4,0,0,0,4
admission,4,0,0,0,4
adoption,4,0,0,0,4
advantages,1,0,2,1,4
adventure,4,0,0,0,4
advisor,3,1,0,0,4
advocates,4,0,0,0,4
aforementioned,1,0,2,1,4
aggregation,2,2,0,0,4
aided,3,0,0,1,4
algebraic,0,4,0,0,4
aligned,3,0,1,0,4
allocation,2,2,0,0,4
analytics,4,0,0,0,4
analyzation,2,2,0,0,4
anemometer,4,0,0,0,4
anywhere,4,0,0,0,4
apart,2,1,0,1,4
appointment,4,0,0,0,4
approximate,3,0,0,1,4
apps,0,4,0,0,4
archiving,4,0,0,0,4
artisanal,4,0,0,0,4
asgm,4,0,0,0,4
associate,2,0,2,0,4
availing,2,0,1,1,4
backup,4,0,0,0,4
backward,4,0,0,0,4
bakeshoppe,0,0,4,0,4
banking,3,0,0,1,4
bcpo,4,0,0,0,4
bcsat,4,0,0,0,4
became,2,2,0,0,4
bedroom,0,0,4,0,4
beginning,0,1,2,1,4
bend,4,0,0,0,4
blessings,4,0,0,0,4
blind,4,0,0,0,4
bodies,4,0,0,0,4
bookista,4,0,0,0,4
bookkeeper,0,0,4,0,4
booster,4,0,0,0,4
border,4,0,0,0,4
breakeven,0,0,0,4,4
briefly,4,0,0,0,4
built,3,1,0,0,4
bukidnon,0,0,0,4,4
campus,4,0,0,0,4
catered,4,0,0,0,4
cctv,3,0,1,0,4
cebu,0,0,0,4,4
cell,4,0,0,0,4
centered,4,0,0,0,4
chef,4,0,0,0,4
classifier,1,3,0,0,4
clear,0,2,2,0,4
clicking,4,0,0,0,4
clinica??s,4,0,0,0,4
cognitive,4,0,0,0,4
collisions,4,0,0,0,4
comakers,0,0,4,0,4
combinations,4,0,0,0,4
combined,4,0,0,0,4
coming,0,1,0,3,4
communicates,4,0,0,0,4
complaints,1,0,3,0,4
componenta??,4,0,0,0,4
compounds,4,0,0,0,4
comsca,0,0,4,0,4
confirmed,2,1,0,1,4
conflicts,0,4,0,0,4
contain,3,1,0,0,4
contingency,2,0,2,0,4
contributions,4,0,0,0,4
controlled,4,0,0,0,4
corresponding,3,1,0,0,4
corresponds,4,0,0,0,4
costs,0,0,1,3,4
court,3,0,1,0,4
credibility,2,0,2,0,4
criminal,4,0,0,0,4
ca??s,0,0,4,0,4
dangerous,4,0,0,0,4
dark,4,0,0,0,4
dealers,0,0,0,4,4
decide,4,0,0,0,4
decisions,4,0,0,0,4
declaration,4,0,0,0,4
delays,0,1,3,0,4
deliacious,0,0,4,0,4
delinquency,0,0,4,0,4
deliver,2,1,0,1,4
demonstrates,2,0,2,0,4
depending,3,1,0,0,4
described,1,0,3,0,4
detailed,3,0,1,0,4
details,3,1,0,0,4
deterioration,0,0,4,0,4
dietary,4,0,0,0,4
direction,3,0,0,1,4
directional,0,0,4,0,4
discuss,4,0,0,0,4
discussion,4,0,0,0,4
disinfecting,4,0,0,0,4
disorders,4,0,0,0,4
dispose,4,0,0,0,4
dissatisfaction,0,0,4,0,4
dissemination,2,2,0,0,4
doctors,4,0,0,0,4
doesna??t,4,0,0,0,4
domestic,0,0,0,4,4
dona??t,3,0,1,0,4
doors,3,1,0,0,4
driver,4,0,0,0,4
droplets,4,0,0,0,4
drowsiness,4,0,0,0,4
duties,0,0,2,2,4
earl,0,0,4,0,4
earn,3,0,1,0,4
ebox,0,0,4,0,4
ehatud,4,0,0,0,4
engaging,3,0,0,1,4
enrolment,1,3,0,0,4
entry,2,2,0,0,4
envisions,3,0,0,1,4
epidemic,4,0,0,0,4
erupted,4,0,0,0,4
estimate,3,0,0,1,4
etudlo,4,0,0,0,4
evidenced,4,0,0,0,4
exclusive,4,0,0,0,4
exclusively,4,0,0,0,4
executed,2,0,2,0,4
exists,4,0,0,0,4
expedite,4,0,0,0,4
exploded,4,0,0,0,4
export,2,0,0,2,4
express,0,0,4,0,4
extension,1,0,3,0,4
extensions,0,0,4,0,4
extra,2,0,2,0,4
extracted,2,2,0,0,4
facial,4,0,0,0,4
faded,0,0,4,0,4
fails,0,0,4,0,4
fans,0,0,4,0,4
farming,1,0,0,3,4
farms,3,0,0,1,4
feces,4,0,0,0,4
feel,0,0,4,0,4
fences,4,0,0,0,4
filtering,0,4,0,0,4
finally,3,1,0,0,4
finishing,3,0,0,1,4
firebase,4,0,0,0,4
fisherfolks,4,0,0,0,4
flush,4,0,0,0,4
flushing,4,0,0,0,4
focusing,2,0,2,0,4
fona,4,0,0,0,4
format,4,0,0,0,4
formulated,2,2,0,0,4
foul,4,0,0,0,4
fount,4,0,0,0,4
freebies,3,0,1,0,4
freed,4,0,0,0,4
friend,0,0,0,4,4
friendly,3,0,1,0,4
functioned,4,0,0,0,4
funding,3,0,0,1,4
fundline,0,0,4,0,4
furnishing,0,0,4,0,4
geometric,2,2,0,0,4
glove,4,0,0,0,4
gold,4,0,0,0,4
gone,4,0,0,0,4
greater,3,0,1,0,4
greenhouse,4,0,0,0,4
grilling,0,0,4,0,4
grocery,0,0,0,4,4
group,1,0,0,3,4
grower,0,0,0,4,4
guests,1,0,3,0,4
guided,3,0,0,1,4
handtalk,4,0,0,0,4
happens,2,0,2,0,4
harm,0,4,0,0,4
healthy,3,0,1,0,4
held,1,1,2,0,4
host,3,1,0,0,4
humancomputer,0,4,0,0,4
hydrogen,4,0,0,0,4
identified,1,2,1,0,4
identifies,3,0,1,0,4
immediate,2,2,0,0,4
imposing,0,0,4,0,4
incorrect,0,0,4,0,4
increases,3,0,0,1,4
indoor,4,0,0,0,4
industrial,0,0,0,4,4
instruction,4,0,0,0,4
interfaces,4,0,0,0,4
invested,0,0,0,4,4
investigate,0,0,4,0,4
involve,0,1,2,1,4
jobs,4,0,0,0,4
journey,4,0,0,0,4
kamayutak,4,0,0,0,4
keys,3,1,0,0,4
kiliog,0,0,0,4,4
kilo,0,0,1,3,4
leaf,4,0,0,0,4
lebak,0,0,0,4,4
lesson,4,0,0,0,4
levels,2,1,0,1,4
lexical,0,4,0,0,4
libertad,0,0,4,0,4
lifestar,0,0,4,0,4
lived,4,0,0,0,4
locally,0,0,0,4,4
maintaining,3,0,0,1,4
malambuon,0,0,4,0,4
managers,1,0,3,0,4
manapa,0,0,4,0,4
mango,3,0,0,1,4
manipulate,3,1,0,0,4
manobo,4,0,0,0,4
manufacture,2,0,0,2,4
mape,0,4,0,0,4
massage,0,0,4,0,4
measurement,4,0,0,0,4
medication,4,0,0,0,4
meticulous,4,0,0,0,4
microgreens,4,0,0,0,4
mini,4,0,0,0,4
minimal,0,2,0,2,4
motivational,0,0,4,0,4
move,4,0,0,0,4
mryll,0,0,0,4,4
multiplatform,4,0,0,0,4
nations,4,0,0,0,4
navigation,4,0,0,0,4
negotiate,3,0,1,0,4
networking,2,1,0,1,4
nicholas,0,0,4,0,4
nose,4,0,0,0,4
nuts,0,0,0,4,4
observe,1,0,3,0,4
obtaining,3,0,0,1,4
occurs,2,2,0,0,4
offering,3,0,0,1,4
officials,4,0,0,0,4
onestop,0,0,0,4,4
onto,3,1,0,0,4
opensource,4,0,0,0,4
opinions,3,0,0,1,4
packages,4,0,0,0,4
paic,0,0,0,4,4
parameters,4,0,0,0,4
parking,0,0,2,2,4
parties,0,0,3,1,4
partners,0,0,0,4,4
payer,3,0,1,0,4
pension,2,0,2,0,4
pera,0,0,4,0,4
peso,2,0,0,2,4
pests,4,0,0,0,4
phases,0,4,0,0,4
philpost,0,0,4,0,4
picking,4,0,0,0,4
pixelexe,0,0,4,0,4
play,4,0,0,0,4
pledges,0,0,4,0,4
poor,2,0,2,0,4
populating,4,0,0,0,4
portion,0,0,1,3,4
predict,0,4,0,0,4
preferences,0,1,2,1,4
preoperating,0,0,0,4,4
prescriptions,0,4,0,0,4
press,0,0,4,0,4
preventing,4,0,0,0,4
principles,1,0,3,0,4
print,4,0,0,0,4
proctor,4,0,0,0,4
proctors,4,0,0,0,4
productive,1,0,3,0,4
professional,3,0,1,0,4
promising,0,4,0,0,4
promoter,4,0,0,0,4
proposes,4,0,0,0,4
protocols,4,0,0,0,4
psychometrician,4,0,0,0,4
puroks,4,0,0,0,4
radiotelevision,0,0,4,0,4
ranging,2,0,0,2,4
rarely,0,0,4,0,4
receivables,0,0,4,0,4
reception,0,0,4,0,4
recipes,4,0,0,0,4
reduction,2,1,1,0,4
references,2,0,2,0,4
refers,0,1,3,0,4
relative,1,2,1,0,4
relevance,4,0,0,0,4
relief,4,0,0,0,4
remained,3,0,1,0,4
remind,2,0,2,0,4
reorder,0,0,4,0,4
replace,4,0,0,0,4
requisition,0,0,4,0,4
rescuers,4,0,0,0,4
respected,4,0,0,0,4
rich,4,0,0,0,4
robinsons,0,0,4,0,4
route,3,0,0,1,4
rover,4,0,0,0,4
saliva,4,0,0,0,4
sanitary,4,0,0,0,4
sanitizing,4,0,0,0,4
satisfy,0,1,2,1,4
saying,4,0,0,0,4
scientific,1,0,1,2,4
scoringbased,0,4,0,0,4
season,4,0,0,0,4
secondhand,4,0,0,0,4
sectors,4,0,0,0,4
sensitivity,0,4,0,0,4
serving,0,1,0,3,4
shapes,1,0,0,3,4
sharing,3,0,1,0,4
sim900,4,0,0,0,4
situations,1,1,2,0,4
snackbreak,4,0,0,0,4
socio,0,0,0,4,4
someone,4,0,0,0,4
spaces,4,0,0,0,4
speak,4,0,0,0,4
special,1,1,0,2,4
specification,3,1,0,0,4
speed,4,0,0,0,4
sponsors,4,0,0,0,4
spreads,4,0,0,0,4
stand,0,0,1,3,4
stands,4,0,0,0,4
stanine,4,0,0,0,4
statusa??,4,0,0,0,4
stay,1,0,3,0,4
storm,4,0,0,0,4
strands,4,0,0,0,4
studying,4,0,0,0,4
studys,4,0,0,0,4
sublime,4,0,0,0,4
suggestion,4,0,0,0,4
suggestions,4,0,0,0,4
suit,0,0,4,0,4
sulfide,4,0,0,0,4
suppliers,0,0,3,1,4
supporting,2,0,2,0,4
sustainable,4,0,0,0,4
swap,4,0,0,0,4
swiprolog,4,0,0,0,4
syllabus,4,0,0,0,4
syndication,2,2,0,0,4
tables,0,0,3,1,4
talacogon,0,0,0,4,4
tangible,0,0,4,0,4
tarpaulin,1,0,3,0,4
telephone,2,0,2,0,4
template,4,0,0,0,4
terrain,3,0,0,1,4
territories,4,0,0,0,4
theories,3,1,0,0,4
theory,3,0,1,0,4
thermal,4,0,0,0,4
though,2,0,0,2,4
thought,4,0,0,0,4
tiles,0,0,0,4,4
timeconsuming,4,0,0,0,4
toilet,4,0,0,0,4
tokens,0,4,0,0,4
traders,4,0,0,0,4
transfer,3,0,0,1,4
transform,3,1,0,0,4
transforming,3,1,0,0,4
translate,1,2,0,1,4
travelers,3,0,0,1,4
tribe,4,0,0,0,4
tuition,4,0,0,0,4
turnover,0,0,4,0,4
typically,2,0,2,0,4
undertake,1,0,0,3,4
uniform,0,0,4,0,4
universal,4,0,0,0,4
unless,3,0,0,1,4
unpaid,0,0,4,0,4
unsafe,2,2,0,0,4
unwanted,4,0,0,0,4
updated,4,0,0,0,4
updating,4,0,0,0,4
vacancy,4,0,0,0,4
validation,4,0,0,0,4
valued,0,0,0,4,4
values,1,1,2,0,4
vbnet,4,0,0,0,4
village,2,0,2,0,4
visit,4,0,0,0,4
visualization,3,1,0,0,4
voting,4,0,0,0,4
wait,3,0,1,0,4
wastes,4,0,0,0,4
watering,4,0,0,0,4
wellbeing,0,0,0,4,4
wholesale,0,0,2,2,4
wife,0,0,0,4,4
wifi,3,0,1,0,4
wings,0,0,4,0,4
worthy,0,0,0,4,4
a??1,4,0,0,0,4
a??3,3,1,0,0,4
19261,3,0,0,0,3
1999,0,0,0,3,3
2019,0,2,1,0,3
2019the,3,0,0,0,3
2030,3,0,0,0,3
3dimensional,3,0,0,0,3
412424,3,0,0,0,3
5000,0,0,1,2,3
7863,3,0,0,0,3
8600,0,0,3,0,3
absence,3,0,0,0,3
abundance,3,0,0,0,3
accelerometer,3,0,0,0,3
accessories,0,0,0,3,3
accident,3,0,0,0,3
accommodating,3,0,0,0,3
accomplish,3,0,0,0,3
accurately,3,0,0,0,3
across,1,0,2,0,3
activate,3,0,0,0,3
activating,3,0,0,0,3
adapt,3,0,0,0,3
additionally,3,0,0,0,3
administered,2,0,1,0,3
admins,3,0,0,0,3
advent,1,2,0,0,3
advertise,3,0,0,0,3
advising,2,1,0,0,3
adweis,3,0,0,0,3
adxl335,3,0,0,0,3
aerosols,3,0,0,0,3
agent,3,0,0,0,3
agentbased,3,0,0,0,3
agree,3,0,0,0,3
agroindustrial,0,0,0,3,3
airplanes,3,0,0,0,3
alleviates,3,0,0,0,3
amounts,3,0,0,0,3
analyses,2,0,1,0,3
anchored,3,0,0,0,3
answering,3,0,0,0,3
antithief,3,0,0,0,3
anytime,3,0,0,0,3
applicable,3,0,0,0,3
applying,1,1,0,1,3
appraise,0,0,3,0,3
appropriately,1,0,0,2,3
approximated,3,0,0,0,3
approximately,0,0,0,3,3
apriori,0,3,0,0,3
arcena,0,0,0,3,3
arcgis,3,0,0,0,3
arise,3,0,0,0,3
array,3,0,0,0,3
articles,0,0,3,0,3
artifacts,3,0,0,0,3
asked,0,0,3,0,3
assignments,0,1,2,0,3
associated,1,2,0,0,3
assured,3,0,0,0,3
attack,3,0,0,0,3
attained,0,1,2,0,3
attractive,0,0,2,1,3
authentic,3,0,0,0,3
autoregressive,3,0,0,0,3
away,1,0,0,2,3
background,1,0,2,0,3
bacterial,3,0,0,0,3
banana,0,0,0,3,3
banza,0,0,0,3,3
battle,3,0,0,0,3
bayanihans,3,0,0,0,3
bayes,0,3,0,0,3
bean,3,0,0,0,3
becomes,3,0,0,0,3
believes,3,0,0,0,3
belt,0,0,0,3,3
beside,2,0,0,1,3
besta??,3,0,0,0,3
biggest,0,2,0,1,3
bike,3,0,0,0,3
billers,0,3,0,0,3
billings,3,0,0,0,3
black,3,0,0,0,3
bleach,3,0,0,0,3
block,3,0,0,0,3
blowing,3,0,0,0,3
blue,3,0,0,0,3
board,0,0,0,3,3
borrowed,1,1,0,1,3
borrowing,0,0,2,1,3
bought,0,0,0,3,3
boundaries,1,2,0,0,3
bread,0,0,2,1,3
breaking,2,0,0,1,3
broad,1,0,2,0,3
browsers,3,0,0,0,3
bsit,3,0,0,0,3
cagayan,0,0,0,3,3
calculated,3,0,0,0,3
calculation,3,0,0,0,3
calendar,3,0,0,0,3
called,3,0,0,0,3
campaign,3,0,0,0,3
caragaa??s,3,0,0,0,3
cards,0,1,2,0,3
casualties,3,0,0,0,3
catastrophe,3,0,0,0,3
caters,1,0,0,2,3
caught,3,0,0,0,3
celebrated,3,0,0,0,3
centralized,3,0,0,0,3
chairs,0,0,0,3,3
chambertype,3,0,0,0,3
champion,0,0,3,0,3
chatbot,3,0,0,0,3
cheaper,2,0,0,1,3
citizens,3,0,0,0,3
classification,2,1,0,0,3
classify,1,2,0,0,3
classifying,3,0,0,0,3
click,3,0,0,0,3
clientele,1,0,0,2,3
clientserver,2,1,0,0,3
clientside,3,0,0,0,3
cnns,0,3,0,0,3
coded,3,0,0,0,3
comfortable,1,0,2,0,3
committed,3,0,0,0,3
commuter,3,0,0,0,3
companys,0,0,2,1,3
comparing,2,0,1,0,3
comparisons,3,0,0,0,3
comprehensive,3,0,0,0,3
comprises,2,0,0,1,3
computes,1,2,0,0,3
concentration,3,0,0,0,3
conditioner,0,0,3,0,3
conductor,3,0,0,0,3
consequences,2,0,1,0,3
consequently,1,1,1,0,3
consisted,3,0,0,0,3
consistency,0,0,3,0,3
constructing,0,1,1,1,3
consultations,3,0,0,0,3
contactless,3,0,0,0,3
context,3,0,0,0,3
continuously,2,0,0,1,3
contributes,0,0,3,0,3
conversed,3,0,0,0,3
convert,2,0,1,0,3
cooperatives,0,0,2,1,3
coordinates,3,0,0,0,3
coping,0,0,3,0,3
core,3,0,0,0,3
countdown,3,0,0,0,3
counter,0,0,3,0,3
counterfeit,3,0,0,0,3
countless,3,0,0,0,3
countries,3,0,0,0,3
courteous,3,0,0,0,3
covering,0,0,0,3,3
creator,3,0,0,0,3
credited,3,0,0,0,3
crossing,3,0,0,0,3
crucial,2,0,0,1,3
culture,2,0,0,1,3
cure,3,0,0,0,3
curing,3,0,0,0,3
cyclesdlc,3,0,0,0,3
damage,0,0,3,0,3
damages,3,0,0,0,3
danilo,3,0,0,0,3
davao,0,0,0,3,3
deaf,2,1,0,0,3
dealership,0,0,0,3,3
debugging,3,0,0,0,3
decides,2,0,1,0,3
decoration,0,0,3,0,3
decreases,3,0,0,0,3
dedication,3,0,0,0,3
deduction,0,0,3,0,3
default,0,0,3,0,3
defaults,0,0,3,0,3
defeats,3,0,0,0,3
definitely,3,0,0,0,3
dengue,0,3,0,0,3
departments,3,0,0,0,3
designated,1,0,2,0,3
desire,2,1,0,0,3
destinations,3,0,0,0,3
detail,3,0,0,0,3
differentiate,3,0,0,0,3
digitally,3,0,0,0,3
dimensional,3,0,0,0,3
directs,3,0,0,0,3
dirty,3,0,0,0,3
disability,3,0,0,0,3
discounts,0,0,2,1,3
discourse,0,3,0,0,3
discussed,2,0,0,1,3
dishes,0,0,3,0,3
disinfect,3,0,0,0,3
displayed,2,0,0,1,3
distinguish,3,0,0,0,3
distinguished,3,0,0,0,3
distribute,0,1,1,1,3
distributing,3,0,0,0,3
district,0,0,0,3,3
documentary,2,0,0,1,3
dominated,2,0,0,1,3
dont,3,0,0,0,3
drag,2,1,0,0,3
dressed,0,0,0,3,3
drier,0,0,0,3,3
drpedia,3,0,0,0,3
dryers,0,0,0,3,3
dump,3,0,0,0,3
dumping,3,0,0,0,3
earth,3,0,0,0,3
eartha??s,3,0,0,0,3
easyto,3,0,0,0,3
eclgis,3,0,0,0,3
ecotourism,3,0,0,0,3
efficacy,3,0,0,0,3
eggs,0,0,0,3,3
eight,0,0,2,1,3
eighteen,3,0,0,0,3
electronics,3,0,0,0,3
elevation,2,0,0,1,3
eliminating,3,0,0,0,3
elsea??s,3,0,0,0,3
email,1,0,0,2,3
embedding,3,0,0,0,3
embedment,3,0,0,0,3
emerged,1,2,0,0,3
enclosed,3,0,0,0,3
endico,0,0,0,3,3
ending,0,0,3,0,3
energy,2,0,1,0,3
enforcing,3,0,0,0,3
enhancement,1,1,1,0,3
enters,1,1,0,1,3
entertainingly,3,0,0,0,3
entrance,2,0,0,1,3
equally,0,0,1,2,3
equip,0,0,3,0,3
equity,0,0,0,3,3
eradicates,3,0,0,0,3
essence,3,0,0,0,3
estimation,0,2,1,0,3
etiquette,3,0,0,0,3
evenly,0,0,3,0,3
evergrowing,3,0,0,0,3
evidence,3,0,0,0,3
examine,3,0,0,0,3
example,2,0,0,1,3
excellent,0,0,0,3,3
exchange,1,0,0,2,3
exerciser,1,2,0,0,3
exist,2,0,1,0,3
expand,0,0,0,3,3
expansion,0,0,2,1,3
experiences,3,0,0,0,3
experiment,1,2,0,0,3
experiments,1,2,0,0,3
exposed,1,2,0,0,3
facilitating,2,0,0,1,3
fact,0,0,2,1,3
falls,0,0,3,0,3
FALSE,3,0,0,0,3
fame,3,0,0,0,3
farflung,2,0,0,1,3
feedbacks,2,0,1,0,3
feet,0,0,0,3,3
fellow,3,0,0,0,3
fico,3,0,0,0,3
fifo,0,0,3,0,3
filipinos,1,0,0,2,3
fingers,2,0,0,1,3
fishery,3,0,0,0,3
fivesecond,3,0,0,0,3
flame,3,0,0,0,3
flash,0,0,0,3,3
foreman,0,0,2,1,3
formation,2,0,0,1,3
formed,3,0,0,0,3
fortynine,3,0,0,0,3
forward,0,0,0,3,3
fourwheeled,3,0,0,0,3
frame,0,0,3,0,3
franchise,0,0,1,2,3
freedom,3,0,0,0,3
fungal,3,0,0,0,3
fungi,3,0,0,0,3
gadgets,3,0,0,0,3
gamebased,3,0,0,0,3
gather,0,1,2,0,3
gets,3,0,0,0,3
gf07,3,0,0,0,3
github,3,0,0,0,3
glance,3,0,0,0,3
grab,3,0,0,0,3
grading,2,0,0,1,3
granted,0,0,3,0,3
granting,0,0,3,0,3
gravity,3,0,0,0,3
greatly,2,0,1,0,3
grown,3,0,0,0,3
guiding,3,0,0,0,3
handeye,3,0,0,0,3
handily,3,0,0,0,3
hanged,3,0,0,0,3
hazard,3,0,0,0,3
hearing,3,0,0,0,3
heroku,3,0,0,0,3
heshe,3,0,0,0,3
hidden,0,2,1,0,3
holds,3,0,0,0,3
honest,3,0,0,0,3
hostel,3,0,0,0,3
hotspot,3,0,0,0,3
housestolet,3,0,0,0,3
huge,1,1,1,0,3
humanlevel,3,0,0,0,3
hypertension,3,0,0,0,3
iconic,3,0,0,0,3
ideally,0,0,0,3,3
identity,1,1,1,0,3
ieee,2,1,0,0,3
illegal,3,0,0,0,3
illnesses,3,0,0,0,3
imminent,3,0,0,0,3
impartial,3,0,0,0,3
imperative,0,2,0,1,3
improves,3,0,0,0,3
inaccuracy,3,0,0,0,3
inactivated,3,0,0,0,3
inactivation,3,0,0,0,3
inclusive,3,0,0,0,3
inconvenient,3,0,0,0,3
incorporate,3,0,0,0,3
indigenous,3,0,0,0,3
indispensable,2,0,0,1,3
infectivity,3,0,0,0,3
infested,3,0,0,0,3
inflow,0,0,2,1,3
infrastructures,3,0,0,0,3
ingredients,0,0,3,0,3
initiate,3,0,0,0,3
inserting,3,0,0,0,3
insight,2,0,1,0,3
inspired,2,0,0,1,3
installation,1,0,1,1,3
installing,0,0,3,0,3
instance,2,1,0,0,3
instrument,3,0,0,0,3
integrator,0,0,0,3,3
intends,1,2,0,0,3
interact,3,0,0,0,3
interested,3,0,0,0,3
intervention,2,1,0,0,3
introduce,3,0,0,0,3
introduced,3,0,0,0,3
isaac,3,0,0,0,3
iso1926,3,0,0,0,3
isolated,3,0,0,0,3
issued,3,0,0,0,3
jelly,3,0,0,0,3
jprizal,0,0,3,0,3
jude,0,0,3,0,3
july,0,0,3,0,3
karaoke,0,0,3,0,3
kilometers,0,0,0,3,3
kitchen,0,0,3,0,3
labeled,0,1,2,0,3
lapulapu,0,0,3,0,3
larger,3,0,0,0,3
largest,3,0,0,0,3
laws,3,0,0,0,3
leadership,0,0,0,3,3
leaving,0,0,3,0,3
leniently,0,0,3,0,3
letter,0,0,3,0,3
libraries,3,0,0,0,3
lifestyle,3,0,0,0,3
lifts,3,0,0,0,3
listing,0,0,3,0,3
little,2,0,0,1,3
living,1,0,1,1,3
lobby,0,0,3,0,3
login,3,0,0,0,3
losses,0,0,0,3,3
lunao,0,0,0,3,3
maker,3,0,0,0,3
managerial,0,0,0,3,3
mapped,0,3,0,0,3
march,0,2,1,0,3
markup,0,2,0,1,3
marshmallow,3,0,0,0,3
massive,3,0,0,0,3
masters,3,0,0,0,3
matches,2,1,0,0,3
