,ca,t,cs,fs,tot
planet,3,0,0,0,3
plantderived,3,0,0,0,3
platesa??,3,0,0,0,3
playersa?,3,0,0,0,3
pledge,0,0,3,0,3
pocket,1,2,0,0,3
polite,0,0,3,0,3
populace,3,0,0,0,3
portals,3,0,0,0,3
portfolio,0,0,3,0,3
pose,0,1,2,0,3
poses,3,0,0,0,3
positions,1,1,0,1,3
postharvest,3,0,0,0,3
posttest,3,0,0,0,3
potentials,2,1,0,0,3
poyohon,3,0,0,0,3
practically,1,1,0,1,3
practicesa??,3,0,0,0,3
precautions,3,0,0,0,3
precipitating,3,0,0,0,3
precision,3,0,0,0,3
predecessors,0,3,0,0,3
predetermined,2,1,0,0,3
preemptive,3,0,0,0,3
preemptively,3,0,0,0,3
prefers,0,0,2,1,3
prepaid,3,0,0,0,3
prerequisites,2,1,0,0,3
prescribed,1,2,0,0,3
presentable,1,0,2,0,3
preserved,3,0,0,0,3
pretest,3,0,0,0,3
prevalence,3,0,0,0,3
prevents,3,0,0,0,3
privileged,3,0,0,0,3
proactive,3,0,0,0,3
probabilities,3,0,0,0,3
problematic,3,0,0,0,3
proceedings,0,0,3,0,3
profession,3,0,0,0,3
profiles,1,0,2,0,3
programmers,1,2,0,0,3
progresses,3,0,0,0,3
progressive,1,0,0,2,3
prohibited,0,1,2,0,3
prolonged,3,0,0,0,3
prominent,3,0,0,0,3
promising,0,0,3,0,3
promoted,1,0,2,0,3
proprietor,0,0,3,0,3
prospecting,3,0,0,0,3
prospects,2,1,0,0,3
prosperidad,0,0,2,1,3
protective,3,0,0,0,3
prove,3,0,0,0,3
providential,0,0,3,0,3
publication,2,1,0,0,3
publish,3,0,0,0,3
pugon,0,0,3,0,3
pullola,3,0,0,0,3
puncher,3,0,0,0,3
pune,3,0,0,0,3
purely,3,0,0,0,3
pursued,0,0,2,1,3
pushed,1,0,2,0,3
pworth,3,0,0,0,3
qiling,3,0,0,0,3
quantifiable,3,0,0,0,3
quantifying,3,0,0,0,3
queenie,3,0,0,0,3
rabies,3,0,0,0,3
rags,0,0,3,0,3
rail,3,0,0,0,3
rains,3,0,0,0,3
rajah,3,0,0,0,3
ranked,3,0,0,0,3
rats,0,0,3,0,3
rdoacadcs16007,0,0,3,0,3
rdoacadcs16012,0,0,3,0,3
rdoacadcs16013,0,0,3,0,3
reaching,1,0,2,0,3
reaction,3,0,0,0,3
reactions,3,0,0,0,3
readable,1,2,0,0,3
readymade,0,0,3,0,3
receiversignal,3,0,0,0,3
receptionist,0,0,3,0,3
recheck,0,0,3,0,3
recommending,0,0,3,0,3
recordings,3,0,0,0,3
recordkeeping,3,0,0,0,3
recovering,3,0,0,0,3
recycled,0,0,3,0,3
redeem,0,0,3,0,3
reeled,0,0,0,3,3
refills,3,0,0,0,3
regulatory,3,0,0,0,3
reimers,3,0,0,0,3
reject,2,0,1,0,3
rejected,1,0,2,0,3
relevance,3,0,0,0,3
reliance,2,1,0,0,3
religion,0,0,3,0,3
reloaner,0,0,3,0,3
remembered,3,0,0,0,3
render,1,0,2,0,3
renew,1,0,2,0,3
renace,3,0,0,0,3
reorder,0,0,3,0,3
repairs,2,0,1,0,3
repay,0,0,3,0,3
repetitive,3,0,0,0,3
representations,3,0,0,0,3
reputation,3,0,0,0,3
requesting,0,2,1,0,3
researchersa??,3,0,0,0,3
resell,0,0,3,0,3
reserved,1,0,2,0,3
reserves,2,0,0,1,3
resettlement,0,0,0,3,3
resilience,3,0,0,0,3
resolving,3,0,0,0,3
resorted,3,0,0,0,3
respiration,3,0,0,0,3
responders,3,0,0,0,3
resto,0,0,3,0,3
restriction,0,3,0,0,3
restructured,0,0,3,0,3
resume,0,0,2,1,3
retro,3,0,0,0,3
revelations,3,0,0,0,3
revenues,0,0,0,3,3
reviewed,0,0,3,0,3
revolving,0,0,3,0,3
reward,0,0,1,2,3
rewards,0,0,3,0,3
reynaldo,3,0,0,0,3
reynolds,3,0,0,0,3
rezaei,3,0,0,0,3
ricefarming,3,0,0,0,3
ried,0,0,3,0,3
riedacadcs18012,0,0,3,0,3
riedacadcs18017,0,0,3,0,3
riedacadcs18019,0,0,3,0,3
rieger,3,0,0,0,3
ring,3,0,0,0,3
risen,3,0,0,0,3
riskonce,3,0,0,0,3
robbins,3,0,0,0,3
rodrigo,3,0,0,0,3
roof,0,0,3,0,3
rooting,3,0,0,0,3
roperos,3,0,0,0,3
rowley,3,0,0,0,3
rule,1,2,0,0,3
rupees,3,0,0,0,3
rust,1,0,2,0,3
safer,3,0,0,0,3
safest,3,0,0,0,3
saini,3,0,0,0,3
sajed,3,0,0,0,3
sajulan,3,0,0,0,3
salad,2,0,1,0,3
salen,3,0,0,0,3
salient,3,0,0,0,3
sample,0,0,3,0,3
sandwich,0,0,3,0,3
sandwiches,2,0,1,0,3
santos,2,0,0,1,3
sarscov,3,0,0,0,3
satisfying,2,1,0,0,3
saves,3,0,0,0,3
scalable,3,0,0,0,3
scared,2,0,1,0,3
schnabel,3,0,0,0,3
scholarships,2,0,0,1,3
sciencea??,3,0,0,0,3
secretly,3,0,0,0,3
secures,3,0,0,0,3
seedlings,3,0,0,0,3
seeking,0,2,0,1,3
seeks,2,0,1,0,3
segregate,2,0,1,0,3
segregated,0,0,3,0,3
seismic,3,0,0,0,3
seismology,3,0,0,0,3
selectively,3,0,0,0,3
selfcontamination,3,0,0,0,3
selfemployed,0,0,3,0,3
semesters,1,0,2,0,3
seniang,3,0,0,0,3
sensing,3,0,0,0,3
sensitivity,3,0,0,0,3
sentiments,1,0,2,0,3
sentral,0,0,3,0,3
serological,3,0,0,0,3
setback,2,0,0,1,3
setup,2,0,0,1,3
sewer,3,0,0,0,3
sgmpc,0,0,3,0,3
shadin,3,0,0,0,3
shaping,2,0,1,0,3
shatterproof,3,0,0,0,3
sheets,0,1,2,0,3
shifts,3,0,0,0,3
shirt,0,0,3,0,3
shirts,0,0,3,0,3
shook,3,0,0,0,3
shopped,3,0,0,0,3
shortchange,3,0,0,0,3
shorter,1,0,2,0,3
shortfall,2,0,0,1,3
shrine,3,0,0,0,3
shut,3,0,0,0,3
sidecar,0,0,3,0,3
signalling,3,0,0,0,3
signals,3,0,0,0,3
silos,3,0,0,0,3
silverton,0,0,3,0,3
simpler,3,0,0,0,3
sion,2,0,1,0,3
sirri,3,0,0,0,3
siva,3,0,0,0,3
sixtyseven,1,0,2,0,3
slide,0,2,1,0,3
smartly,3,0,0,0,3
smile,0,0,2,1,3
sneezing,3,0,0,0,3
socialization,2,1,0,0,3
socially,2,0,1,0,3
sodium,3,0,0,0,3
softener,0,0,3,0,3
sokol,3,0,0,0,3
somehow,2,1,0,0,3
southern,0,0,0,3,3
souvenirs,3,0,0,0,3
spaces,3,0,0,0,3
specificity,3,0,0,0,3
specifies,1,0,2,0,3
spends,0,0,3,0,3
sphygmomanometer,3,0,0,0,3
spice,3,0,0,0,3
spignesi,3,0,0,0,3
spikelet,3,0,0,0,3
spiritual,3,0,0,0,3
split,1,0,2,0,3
spoil,0,0,2,1,3
spokesman,3,0,0,0,3
sponsoring,2,0,1,0,3
spouse,0,0,3,0,3
sqlite,3,0,0,0,3
srikar,3,0,0,0,3
stable,0,0,2,1,3
startup,0,1,1,1,3
stationery,3,0,0,0,3
stealing,0,2,1,0,3
steel,0,0,3,0,3
stephen,3,0,0,0,3
sterile,3,0,0,0,3
sterility,3,0,0,0,3
sticks,3,0,0,0,3
stil,1,0,2,0,3
stimulation,3,0,0,0,3
stipend,3,0,0,0,3
stocked,0,0,3,0,3
storehouse,3,0,0,0,3
straightforwardly,2,1,0,0,3
strait,3,0,0,0,3
strapped,3,0,0,0,3
strawcolored,3,0,0,0,3
stronger,2,1,0,0,3
studys,3,0,0,0,3
stunted,3,0,0,0,3
sturgis,3,0,0,0,3
style,0,0,2,1,3
submerged,3,0,0,0,3
submitting,2,1,0,0,3
substitutes,3,0,0,0,3
succeeded,1,2,0,0,3
suchita2014,3,0,0,0,3
sucs,3,0,0,0,3
suffered,0,0,3,0,3
suffice,1,0,2,0,3
superintendent,3,0,0,0,3
superior,2,0,1,0,3
supermarkets,0,0,0,3,3
supervise,0,0,2,1,3
supplement,2,0,0,1,3
supplemetary,0,0,0,3,3
surgical,3,0,0,0,3
surplus,0,0,3,0,3
surrender,0,0,3,0,3
surroundingssection,3,0,0,0,3
surveying,3,0,0,0,3
surviving,3,0,0,0,3
susan,3,0,0,0,3
suspects,3,0,0,0,3
sustainability,3,0,0,0,3
swine,0,0,0,3,3
syahir,3,0,0,0,3
syllabi,3,0,0,0,3
syllabus,3,0,0,0,3
systema??,3,0,0,0,3
tags,0,1,2,0,3
talked,3,0,0,0,3
talks,3,0,0,0,3
tampering,3,0,0,0,3
tams,0,0,3,0,3
tangentially,3,0,0,0,3
tapping,0,0,0,3,3
taste,0,0,1,2,3
taxable,3,0,0,0,3
teachinglearning,3,0,0,0,3
teams,0,1,2,0,3
technologybased,3,0,0,0,3
techpedia,3,0,0,0,3
tectonic,3,0,0,0,3
telecommunications,1,2,0,0,3
telegraphic,3,0,0,0,3
tells,1,1,0,1,3
tenant,3,0,0,0,3
tender,3,0,0,0,3
tents,3,0,0,0,3
terrain,3,0,0,0,3
terrible,0,0,2,1,3
testsquizzes,3,0,0,0,3
testtests,3,0,0,0,3
texting,0,1,2,0,3
thailand,1,0,0,2,3
thawed,0,0,3,0,3
theoretical,3,0,0,0,3
thiefs,3,0,0,0,3
thin,1,0,2,0,3
thinks,1,0,2,0,3
thirtysix,0,0,3,0,3
thirtythree,0,0,3,0,3
thoroughly,0,1,2,0,3
thoughts,1,2,0,0,3
thrive,3,0,0,0,3
throat,3,0,0,0,3
throw,3,0,0,0,3
ticketing,1,0,2,0,3
tickets,3,0,0,0,3
tiller,3,0,0,0,3
tillering,3,0,0,0,3
tips,0,0,2,1,3
tissue,0,0,2,1,3
tongue,3,0,0,0,3
toothbrush,0,0,3,0,3
touched,3,0,0,0,3
tracked,3,0,0,0,3
traders,3,0,0,0,3
traineesa??,3,0,0,0,3
tranche,3,0,0,0,3
transacting,3,0,0,0,3
transferring,1,0,2,0,3
transforming,1,1,1,0,3
travelled,3,0,0,0,3
traveloka,0,0,3,0,3
treasure,2,1,0,0,3
treating,3,0,0,0,3
treats,3,0,0,0,3
trials,3,0,0,0,3
triggered,3,0,0,0,3
triggers,3,0,0,0,3
trouble,3,0,0,0,3
troublesome,3,0,0,0,3
trustworthy,1,0,2,0,3
tungao,0,0,3,0,3
twentyfour,0,0,3,0,3
typing,3,0,0,0,3
unavailable,1,0,2,0,3
unchecked,3,0,0,0,3
undergraduate,3,0,0,0,3
understudy,3,0,0,0,3
undertaking,3,0,0,0,3
unhides,3,0,0,0,3
uninstalled,3,0,0,0,3
uniquely,3,0,0,0,3
universally,2,1,0,0,3
unorganized,0,1,2,0,3
unreadable,0,3,0,0,3
unsure,3,0,0,0,3
unwavering,3,0,0,0,3
uptodate,1,0,2,0,3
upton,3,0,0,0,3
useless,3,0,0,0,3
username,2,0,1,0,3
vaccine,1,2,0,0,3
vaccinestreatments,3,0,0,0,3
vectors,3,0,0,0,3
vegetable,0,0,3,0,3
velazquez,3,0,0,0,3
verbally,0,0,3,0,3
verge,3,0,0,0,3
verifies,0,0,3,0,3
vermeulen,3,0,0,0,3
vessels,3,0,0,0,3
viable,1,1,1,0,3
videographer,3,0,0,0,3
viewers,3,0,0,0,3
virtually,3,0,0,0,3
volcanology,3,0,0,0,3
voluntary,2,0,1,0,3
wake,3,0,0,0,3
warrant,2,0,0,1,3
wasmeyahh,3,0,0,0,3
watered,3,0,0,0,3
waycott,3,0,0,0,3
weapons,1,0,2,0,3
weber,3,0,0,0,3
welcome,0,0,3,0,3
wellness,1,0,2,0,3
wheel,3,0,0,0,3
whereas,1,0,2,0,3
wholesalers,0,0,3,0,3
wider,3,0,0,0,3
wieconece,3,0,0,0,3
wildlife,3,0,0,0,3
willl,3,0,0,0,3
wilt,3,0,0,0,3
winickoff,3,0,0,0,3
wipe,3,0,0,0,3
wirings,3,0,0,0,3
wishes,2,0,1,0,3
withdrawals,0,0,3,0,3
withhold,3,0,0,0,3
witnessed,2,0,0,1,3
workplace,1,1,1,0,3
workshops,2,0,0,1,3
worrying,2,0,0,1,3
worsen,3,0,0,0,3
worsening,3,0,0,0,3
wrapper,0,0,3,0,3
wwwproperty24comph,3,0,0,0,3
wwwpropertyfinderphcom,3,0,0,0,3
yezli,3,0,0,0,3
yhotel,0,0,3,0,3
youre,3,0,0,0,3
youa??re,3,0,0,0,3
zeroed,3,0,0,0,3
zhao,3,0,0,0,3
zielstoff,3,0,0,0,3
zimmerman,3,0,0,0,3
zoratti,3,0,0,0,3
a??ang,0,0,3,0,3
a??dili,0,0,3,0,3
a??living,3,0,0,0,3
a??puroka??,3,0,0,0,3
a??smartnessa??,3,0,0,0,3
a??traditional,3,0,0,0,3
a??piles,3,0,0,0,3
1000,0,0,2,0,2
326,2,0,0,0,2
46865,0,0,2,0,2
10121,2,0,0,0,2
1023,0,0,0,2,2
1027534,0,0,2,0,2
102795500,0,0,2,0,2
103301817,0,0,2,0,2
1046865,0,0,2,0,2
108225,0,0,0,2,2
109619,2,0,0,0,2
1117,0,0,0,2,2
1119020,0,0,2,0,2
116000,0,0,2,0,2
116523718,0,0,2,0,2
1184465,0,0,2,0,2
1189,2,0,0,0,2
11am,0,0,2,0,2
12000,0,0,0,2,2
12104845472,0,0,2,0,2
1230,0,0,2,0,2
125aÅã15,2,0,0,0,2
12760904,0,0,2,0,2
129000,0,0,2,0,2
12952200,0,0,2,0,2
12x6,0,0,2,0,2
130000,0,0,0,2,2
1311,2,0,0,0,2
13150000,0,0,2,0,2
13171578,0,0,2,0,2
13175000,0,0,2,0,2
1324090,2,0,0,0,2
1339,0,0,2,0,2
1350867,0,0,2,0,2
13510996,0,0,2,0,2
1363,0,0,0,2,2
1400000,0,0,2,0,2
143293,2,0,0,0,2
1443363,0,0,2,0,2
14700,0,0,2,0,2
14800,0,0,2,0,2
14810000,0,0,2,0,2
1495790,2,0,0,0,2
15000000,0,0,2,0,2
150000000,0,0,2,0,2
15070000,0,0,2,0,2
1515,0,0,2,0,2
1520,0,0,2,0,2
15600,0,0,2,0,2
1578,0,0,2,0,2
157800,0,0,2,0,2
1596709,2,0,0,0,2
16437,0,0,2,0,2
1674985,0,0,2,0,2
1684,0,0,2,0,2
16900,0,0,2,0,2
16955000,0,0,2,0,2
1696,0,0,2,0,2
1697850,0,0,2,0,2
1700s,2,0,0,0,2
18000,0,0,2,0,2
181300,0,0,2,0,2
18300,0,0,2,0,2
1835861,0,0,2,0,2
18991945,2,0,0,0,2
1900,0,0,2,0,2
1915993,2,0,0,0,2
1929,2,0,0,0,2
1933,2,0,0,0,2
19349525,0,0,2,0,2
1935,2,0,0,0,2
1960,1,1,0,0,2
19800,0,0,2,0,2
1980s,1,0,1,0,2
1986,0,0,0,2,2
19941998,0,0,0,2,2
19952,0,0,0,2,2
20090000,0,0,2,0,2
20112014,0,0,2,0,2
20122013,0,0,2,0,2
20122014,0,0,2,0,2
20122015,0,0,2,0,2
20122017,0,0,2,0,2
20142017,0,0,2,0,2
20177,0,0,2,0,2
2026329,2,0,0,0,2
2027,2,0,0,0,2
20282000,0,0,2,0,2
2047,0,0,2,0,2
2052957,0,0,2,0,2
2077,0,0,2,0,2
2100,2,0,0,0,2
21587000,0,0,2,0,2
2179733,2,0,0,0,2
21aÅã,2,0,0,0,2
220232,2,0,0,0,2
221285,0,0,0,2,2
221867,0,0,0,2,2
22200,0,0,2,0,2
22349,0,0,0,2,2
23672,2,0,0,0,2
23916600,0,0,2,0,2
239856167,0,0,2,0,2
2436269,0,0,2,0,2
2458451,0,0,2,0,2
2484900,0,0,2,0,2
24hrs,2,0,0,0,2
25000000,0,0,2,0,2
250000000,0,0,2,0,2
2500050000,0,0,2,0,2
25300,0,0,2,0,2
2531,0,0,2,0,2
2581,2,0,0,0,2
25953700,0,0,2,0,2
2618,0,0,2,0,2
26550,0,0,2,0,2
2678700,0,0,2,0,2
27000panels,0,0,2,0,2
2711731,0,0,2,0,2
274014,2,0,0,0,2
27bayanihan,2,0,0,0,2
28000,0,0,2,0,2
2806,0,0,2,0,2
288905,2,0,0,0,2
29177700,0,0,2,0,2
2938,0,0,2,0,2
293800,0,0,2,0,2
29400,0,0,2,0,2
2967,0,0,2,0,2
29803528,0,0,2,0,2
2x5cm,0,0,2,0,2
30266,0,0,2,0,2
3074815,0,0,2,0,2
309709,2,0,0,0,2
30days,0,0,2,0,2
330000,0,0,1,1,2
332150,2,0,0,0,2
3377136,0,0,2,0,2
33829,1,0,1,0,2
3425000,0,0,2,0,2
34789,0,0,2,0,2
34800,0,0,2,0,2
350000000,0,0,2,0,2
3526,0,0,2,0,2
35543900,0,0,2,0,2
362010,0,0,2,0,2
3630967,0,0,2,0,2
3677,0,0,2,0,2
36hrs,2,0,0,0,2
37800,0,0,2,0,2
38400,0,0,2,0,2
3905395,0,0,2,0,2
39600,0,0,2,0,2
3shows,0,0,2,0,2
400140,0,0,2,0,2
4006100,0,0,2,0,2
4018000,0,0,2,0,2
403825,0,0,2,0,2
404840,0,0,2,0,2
418770,0,0,2,0,2
42000,0,0,0,2,2
4205574,0,0,2,0,2
4391640,0,0,2,0,2
44429900,0,0,2,0,2
44911,0,0,2,0,2
45000000,0,0,2,0,2
45473,0,0,2,0,2
45600,0,0,2,0,2
460147,0,0,2,0,2
460558,0,0,2,0,2
46501,2,0,0,0,2
4733,0,0,2,0,2
47719,0,0,2,0,2
48279,0,0,2,0,2
48800,0,0,2,0,2
48900,0,0,2,0,2
49459700,0,0,2,0,2
4970556,0,0,2,0,2
4pcs,0,0,2,0,2
50000100000,0,0,2,0,2
5061kph,2,0,0,0,2
52000,0,0,2,0,2
54506900,0,0,2,0,2
548028,0,0,2,0,2
54989,0,0,0,2,2
5546,0,0,2,0,2
5550300,0,0,2,0,2
55800,0,0,2,0,2
55805400,0,0,2,0,2
56550,0,0,2,0,2
57060000,0,0,2,0,2
586718,0,0,2,0,2
5924000,0,0,2,0,2
5watt,0,0,2,0,2
6000,0,0,2,0,2
60000000,0,0,2,0,2
600000000,0,0,2,0,2
608800,0,0,2,0,2
6160,0,0,0,2,2
6274kph,2,0,0,0,2
6474,0,0,2,0,2
64761200,0,0,2,0,2
6696700,0,0,2,0,2
671350,0,0,2,0,2
6757,0,0,2,0,2
680000,0,0,2,0,2
6977,0,0,2,0,2
7107,0,0,0,2,2
7115000,0,0,2,0,2
71800,0,0,2,0,2
7200,0,0,2,0,2
741109,2,0,0,0,2
75000,0,0,2,0,2
7500000,0,0,2,0,2
7588kph,2,0,0,0,2
7605000,0,0,2,0,2
7690,0,0,2,0,2
79365,0,0,2,0,2
79900,0,0,2,0,2
8045,2,0,0,0,2
8219006453,0,0,2,0,2
83037,2,0,0,0,2
8400,0,0,2,0,2
85281,2,0,0,0,2
8634800,0,0,2,0,2
89102kph,2,0,0,0,2
8980,2,0,0,0,2
8hours,0,0,2,0,2
906840,0,0,2,0,2
90a??s,2,0,0,0,2
91120,0,0,2,0,2
9155,2,0,0,0,2
937285,2,0,0,0,2
9459,0,0,0,2,2
948168,0,0,2,0,2
962673,0,0,0,2,2
97600,0,0,2,0,2
9n10,0,0,2,0,2
abbas,2,0,0,0,2
abbott,2,0,0,0,2
abiabihon,0,0,2,0,2
abigail,2,0,0,0,2
ablea??,0,0,2,0,2
abli,0,0,2,0,2
abrams,2,0,0,0,2
abscbn,2,0,0,0,2
absorbed,1,0,0,1,2
abswing,0,0,2,0,2
academically,2,0,0,0,2
acceptable,0,0,2,0,2
acclaimed,2,0,0,0,2
accommodating,0,0,2,0,2
accommodations,2,0,0,0,2
accord,2,0,0,0,2
accountabilities,1,0,0,1,2
accreditation,2,0,0,0,2
accredited,1,0,0,1,2
accurately,0,0,2,0,2
accused,2,0,0,0,2
acha,0,2,0,0,2
achievable,1,1,0,0,2
acid,2,0,0,0,2
acidic,2,0,0,0,2
acids,2,0,0,0,2
acle,0,0,2,0,2
activitiesj,2,0,0,0,2
actors,2,0,0,0,2
actuated,2,0,0,0,2
adaptation,1,1,0,0,2
adapting,2,0,0,0,2
adaptive,2,0,0,0,2
adelaida,2,0,0,0,2
administer,0,2,0,0,2
administering,2,0,0,0,2
administratio,0,0,2,0,2
adventurers,2,0,0,0,2
adventures,2,0,0,0,2
adversely,2,0,0,0,2
advised,1,1,0,0,2
afatay,2,0,0,0,2
affectivity,0,0,2,0,2
affixed,2,0,0,0,2
afraid,0,0,2,0,2
african,2,0,0,0,2
afterwards,0,0,2,0,2
agendas,2,0,0,0,2
ageold,0,2,0,0,2
ages,2,0,0,0,2
aggregate,1,1,0,0,2
aggregation,1,1,0,0,2
agri,0,0,2,0,2
agribusiness,0,0,0,2,2
aground,2,0,0,0,2
agustin,2,0,0,0,2
ahamad,1,1,0,0,2
airconditioned,0,0,2,0,2
airfares,0,0,0,2,2
airline,0,0,2,0,2
airport,0,0,2,0,2
airscent,2,0,0,0,2
ajiqow,2,0,0,0,2
aklan,2,0,0,0,2
al2007,2,0,0,0,2
al2010,2,0,0,0,2
al2015,2,0,0,0,2
al2015and,2,0,0,0,2
al2016,2,0,0,0,2
alam,2,0,0,0,2
alant,2,0,0,0,2
albeit,2,0,0,0,2
alcoholbased,2,0,0,0,2
alcohols,2,0,0,0,2
alden,2,0,0,0,2
algae,0,0,2,0,2
algebra,0,2,0,0,2
algebraic,0,2,0,0,2
align,0,0,2,0,2
aligns,2,0,0,0,2
alizadeh,2,0,0,0,2
allaround,2,0,0,0,2
alleviating,2,0,0,0,2
allison,2,0,0,0,2
allocates,2,0,0,0,2
alloy,0,0,2,0,2
alpha,0,0,2,0,2
alphanumeric,1,1,0,0,2
alternated,2,0,0,0,2
aluminum,0,0,2,0,2
alumnus,2,0,0,0,2
alvahab,2,0,0,0,2
amanda,2,0,0,0,2
amend,2,0,0,0,2
amenities,1,0,1,0,2
amongst,2,0,0,0,2
anaerobically,2,0,0,0,2
analogous,2,0,0,0,2
analyzer,0,2,0,0,2
anda,1,0,1,0,2
andaya,0,0,2,0,2
anderson,2,0,0,0,2
aneco,2,0,0,0,2
anent,2,0,0,0,2
animations,0,2,0,0,2
annealing,0,2,0,0,2
anniversary,0,0,2,0,2
announcements,1,1,0,0,2
anns,0,2,0,0,2
answerable,2,0,0,0,2
antitheft,2,0,0,0,2
ants,0,0,2,0,2
apartelle,0,0,2,0,2
apis,2,0,0,0,2
apnr,1,1,0,0,2
apology,0,0,2,0,2
appealing,2,0,0,0,2
appeared,2,0,0,0,2
applet,2,0,0,0,2
applicationa??,2,0,0,0,2
apprehend,2,0,0,0,2
apriori,0,2,0,0,2
aquabot,2,0,0,0,2
aquarium,2,0,0,0,2
aquatic,2,0,0,0,2
archaeological,2,0,0,0,2
architectural,2,0,0,0,2
archways,2,0,0,0,2
ardhana,2,0,0,0,2
ardito,2,0,0,0,2
arhin,2,0,0,0,2
arisen,2,0,0,0,2
arndt,2,0,0,0,2
array,1,1,0,0,2
arrives,2,0,0,0,2
ashtray,0,0,2,0,2
aspirations,2,0,0,0,2
assembled,2,0,0,0,2
assembling,2,0,0,0,2
assembly,1,0,1,0,2
assertive,0,0,0,2,2
assortment,2,0,0,0,2
assumptions,0,0,2,0,2
astronomical,2,0,0,0,2
asynchronous,2,0,0,0,2
athanasopoulos,2,0,0,0,2
athletics,1,1,0,0,2
atlanta,0,2,0,0,2
atmlike,0,0,2,0,2
atmospheric,2,0,0,0,2
atom,1,1,0,0,2
atsdr,2,0,0,0,2
attachment,2,0,0,0,2
attachments,2,0,0,0,2
attigeri,0,2,0,0,2
attitudes,2,0,0,0,2
attraction,0,0,2,0,2
attractive,0,2,0,0,2
attributes,2,0,0,0,2
auditor,0,0,2,0,2
augme,2,0,0,0,2
austrian,2,0,0,0,2
authentic,1,0,1,0,2
authentication,0,2,0,0,2
autochthonal,2,0,0,0,2
autogeneration,1,1,0,0,2
automobile,2,0,0,0,2
automobiles,2,0,0,0,2
autonomy,2,0,0,0,2
autoregressive,2,0,0,0,2
availment,0,0,2,0,2
avert,2,0,0,0,2
avila,2,0,0,0,2
avoidable,0,2,0,0,2
avoidance,2,0,0,0,2
avoiding,2,0,0,0,2
avraamidou,2,0,0,0,2
awful,0,0,2,0,2
ayaw,2,0,0,0,2
babitseng,2,0,0,0,2
bachani,2,0,0,0,2
bacterias,2,0,0,0,2
bacuag,0,0,2,0,2
badas,0,0,2,0,2
badges,0,0,2,0,2
baese,2,0,0,0,2
bakeries,2,0,0,0,2
balloons,0,0,2,0,2
bancasi,0,0,2,0,2
band,0,0,2,0,2
bans,2,0,0,0,2
banug,2,0,0,0,2
baon,2,0,0,0,2
barangayowned,2,0,0,0,2
barbecue,2,0,0,0,2
barbell,0,0,2,0,2
barbells,0,0,2,0,2
barcode,1,1,0,0,2
bargained,0,0,2,0,2
barons,0,0,2,0,2
barrera,0,2,0,0,2
basket,2,0,0,0,2
bath,0,0,2,0,2
batistis,2,0,0,0,2
battered,2,0,0,0,2
bayaran,0,0,2,0,2
bayes,0,2,0,0,2
beach,2,0,0,0,2
beaches,2,0,0,0,2
beautiful,2,0,0,0,2
beginners,0,2,0,0,2
beige,0,0,2,0,2
beirao,2,0,0,0,2
belief,0,0,2,0,2
benedicto,2,0,0,0,2
benefited,2,0,0,0,2
benefitted,2,0,0,0,2
betacarotene,2,0,0,0,2
betterment,2,0,0,0,2
beverage,1,0,1,0,2
bible,0,0,2,0,2
biggs,2,0,0,0,2
bikes,0,0,2,0,2
bilateral,2,0,0,0,2
bilaterally,2,0,0,0,2
billings,0,2,0,0,2
binilaokan,0,0,2,0,2
bintag,0,0,2,0,2
biographies,1,1,0,0,2
biol,2,0,0,0,2
biologicallyinspired,0,2,0,0,2
bisan,0,0,2,0,2
bites,1,1,0,0,2
blanket,0,0,2,0,2
blessed,2,0,0,0,2
blogs,1,1,0,0,2
boaduo,2,0,0,0,2
boats,2,0,0,0,2
bodybuilders,0,0,2,0,2
bodybuilding,0,0,2,0,2
bonding,0,1,1,0,2
bonds,2,0,0,0,2
bonquin,2,0,0,0,2
bonus,0,0,1,1,2
bookings,1,0,1,0,2
bookmark,1,1,0,0,2
bookmarks,1,1,0,0,2
boosted,2,0,0,0,2
boosting,0,0,2,0,2
booths,2,0,0,0,2
born,1,1,0,0,2
borrowera??s,0,0,2,0,2
botha,0,2,0,0,2
bottled,0,0,2,0,2
bottom,1,0,1,0,2
boyfriend,2,0,0,0,2
bproduction,0,0,2,0,2
brackish,2,0,0,0,2
braille,2,0,0,0,2
brancha??s,0,0,2,0,2
brandon,2,0,0,0,2
breaches,2,0,0,0,2
breakdown,0,0,2,0,2
breakdowns,0,0,2,0,2
breaking,2,0,0,0,2
breakthroughs,2,0,0,0,2
breather,2,0,0,0,2
breeders,2,0,0,0,2
brewer,2,0,0,0,2
bright,1,0,1,0,2
briones,2,0,0,0,2
bristol,2,0,0,0,2
brits,0,2,0,0,2
broadcasting,1,0,0,1,2
browsing,1,0,0,1,2
bucas,2,0,0,0,2
buildi,0,0,2,0,2
buklas,2,0,0,0,2
bulky,2,0,0,0,2
bulpsoooy,2,0,0,0,2
bump,2,0,0,0,2
burger,0,0,2,0,2
burial,0,0,2,0,2
burn,0,0,2,0,2
busi,0,0,2,0,2
bustillo,2,0,0,0,2
butu,0,0,2,0,2
butuancity,0,0,2,0,2
buzz,0,0,0,2,2
byproduct,2,0,0,0,2
bytes,0,2,0,0,2
cabinets,1,0,0,1,2
cach,2,0,0,0,2
cadt,2,0,0,0,2
cafac,0,0,2,0,2
calendars,0,0,2,0,2
calories,2,0,0,0,2
campbell,2,0,0,0,2
canals,0,0,2,0,2
cancel,2,0,0,0,2
